feature,rf_imp,xgb_imp,lr_coef_abs
num__incorrect_streak_ratio,0.6754267022115281,0.76392585,13.157438737731303
num__avg_attempt_count,0.14510558647262387,0.00033413162,1.0006377136202211
num__num_students,0.05161329083596677,0.0011026949,0.469861251939059
num__num_attempts_total,0.03752152658976597,0.0014599963,0.15150212211897254
num__avg_time_per_attempt,0.036419843052609625,0.0004754081,0.18871885298839777
num__avg_response_time,0.033858777376421116,0.0002606404,0.2651965118234758
num__tfidf_l2_norm,0.003864672255752786,0.0,0.19438593520301173
num__ari,0.0035827650608899106,0.0,0.1904352766837214
num__readability_score,0.002590058505417272,0.0,0.1923335899865278
num__text_length,0.0019011757670983579,0.2324413,0.1790640270689584
cat__source_open_trivia,0.0018788309859247977,0.0,1.2752318047717683
cat__source_assistments,0.0017294498410242677,0.0,1.2752318047717683
num__word_count,0.0004730367752879231,0.0,0.03322407504523727
num__correct_binary,0.00034014788638118607,0.0,0.09051391025162969
num__num_count,0.00021509049331928942,0.0,0.06613847936075001
num__is_numeric_question,0.00015199296208057232,0.0,0.07281417836367472
num__num_density,9.899263661570285e-05,0.0,0.062276519553503384
num__has_number,9.251109108318349e-05,0.0,0.07281417836367472
cat__category_clean_Geography,7.691135520579922e-05,0.0,0.003692721028786951
cat__category_clean_Entertainment: Video Games,6.562841156325472e-05,0.0,0.0037923976444759195
num__cat_Entertainment: Video Games,5.484853691035007e-05,0.0,0.07982271221046004
cat__category_clean_General Knowledge,4.5550715472717573e-05,0.0,0.004138085078034633
num__cat_General Knowledge,2.427370725653771e-05,0.0,0.0864396916209459
num__cat_Geography,1.2107501805063723e-05,0.0,0.08594088877709682
cat__category_clean_Entertainment: Music,8.222441956221113e-06,0.0,0.0025264229434786532
num__cat_History,7.529173217410133e-06,0.0,0.04609078795265806
cat__category_clean_Entertainment: Film,7.022055894250548e-06,0.0,0.0014941080514325026
num__kw_only_count,4.837436223145566e-06,0.0,0.05007698252711449
num__cat_Science & Nature,3.7551779740749578e-06,0.0,0.06355270341602329
cat__category_clean_History,3.7438800279024394e-06,0.0,0.0013762434006202148
num__kw_never_count,5.694952151884556e-19,0.0,0.008880344176699322
num__kw_but_count,5.496716692830984e-19,0.0,0.04039045137428823
num__kw_without_density,5.094968576416425e-19,0.0,0.022014224951683283
num__kw_without_count,4.664875686381404e-19,0.0,0.022014224951683203
cat__category_clean_Science & Nature,4.499508299008215e-19,0.0,0.0019398828579845894
num__kw_but_density,4.338478698266938e-19,0.0,0.022013859533909247
num__cat_Entertainment: Music,0.0,0.0,0.06807801843550754
num__cat_Science: Computers,0.0,0.0,0.05103085086672434
num__cat_Entertainment: Film,0.0,0.0,0.04970950563876714
num__kw_not_count,0.0,0.0,0.04753328474248023
num__kw_only_density,0.0,0.0,0.03926692132562363
num__kw_not_density,0.0,0.0,0.037620213441358276
num__cat_Entertainment: Books,0.0,0.0,0.028143411985016343
num__is_wh_question,0.0,0.0,0.010315922566854248
num__kw_never_density,0.0,0.0,0.008880344176699329
num__kw_always_density,0.0,0.0,0.008879194115786714
num__kw_always_count,0.0,0.0,0.008879194115786672
cat__category_clean_Science: Computers,0.0,0.0,0.0015359508076697023
cat__category_clean_Entertainment: Books,0.0,0.0,0.0005307023633785481
num__kw_except_count,0.0,0.0,0.0
num__kw_except_density,0.0,0.0,0.0
num__kw_unless_count,0.0,0.0,0.0
num__kw_unless_density,0.0,0.0,0.0
num__is_true_false,0.0,0.0,0.0
num__has_blank,0.0,0.0,0.0
